Adelphi University,500,600,510,620,715,7610
Alabama State University,380,470,380,480,272,5519
Alvernia University,430,520,440,550,364,2917
American International College,390,485,390,495,283,3629
American University,590,680,560,660,1132,13061
Arcadia University,500,600,500,600,591,3939
Arizona State University-Tempe,500,630,520,640,4630,50320
Arkansas State University-Main Campus,420,500,480,560,34,13144
Ashland University,450,560,460,590,53,5737
Auburn University,520,630,530,645,763,25912
Azusa Pacific University,490,540,490,540,843,9972
Ball State University,500,600,500,590,1991,20655
Baptist Bible College & Seminary of Pennsylvania,430,573,443,553,89,836
Barry University,430,510,410,513,342,8518
Baylor University,560,660,570,670,1714,16263
Bellarmine University,510,590,500,590,133,3609
Boston College,630,720,640,740,1569,14317
Boston University,570,680,620,730,3188,32112
Brigham Young University-Provo,570,690,580,680,1245,30484
Brown University,660,770,670,780,1208,9181
Case Western Reserve University,610,710,660,760,766,10771
Catholic University of America,510,620,510,610,710,6699
Central Michigan University,450,588,470,593,72,26879
Chapman University,550,640,560,650,1075,8132
Clarkson University,520,620,570,670,678,3873
Cleveland State University,440,590,460,580,275,16936
College of William and Mary,640,730,630,740,1269,8437
Colorado State University-Fort Collins,510,620,520,630,1005,31354
Columbia University in the City of New York,690,780,700,790,1158,27589
Concordia University-Portland,450,590,450,590,159,7435
Cornell University,650,740,680,770,2659,21679
Creighton University,520,630,550,665,283,8236
D'Youville College,450,550,460,570,279,3067
Dartmouth College,680,780,680,770,744,6298
Drake University,530,640,530,670,92,5062
Drew University,500,620,500,600,261,2113
Drexel University,530,630,570,670,2568,26359
Duke University,670,760,700,790,1234,15856
Duquesne University,520,620,520,610,918,9648
East Carolina University,470,550,490,570,2718,27511
East Tennessee State University,410,600,440,620,34,14434
Eastern University,460,580,460,570,290,3762
Edgewood College,320,400,550,580,5,2980
Emory University,630,710,650,750,949,14769
Fairleigh Dickinson University-Metropolitan Campus,410,520,420,530,528,8777
Florida Agricultural and Mechanical University,430,523,420,510,334,10241
Florida Atlantic University,480,570,480,570,1854,30297
Florida Gulf Coast University,490,570,480,560,1569,14473
Florida Institute of Technology,510,610,530,660,291,6393
Florida International University,500,590,490,580,2880,49610
Florida State University,570,640,560,640,2541,41226
Fordham University,570,670,580,680,1825,15231
Gannon University,460,560,470,570,483,4410
Gardner-Webb University,445,560,450,570,374,4470
George Fox University,480,600,480,610,529,3786
George Mason University,520,620,530,630,2236,33729
George Washington University,590,690,610,700,1808,25613
Georgetown University,660,760,660,760,1320,17858
Georgia Regents University,470,560,460,570,634,501
Georgia State University,480,590,480,590,3061,32556
Gonzaga University,540,640,560,650,804,7352
Governors State University,375,495,395,500,3,5776
Gwynedd Mercy University,430,520,430,540,199,2459
Hamline University,470,610,490,570,59,4469
Hampton University,460,550,450,550,551,4393
Hardin-Simmons University,450,565,460,570,219,2084
Harding University,480,610,470,610,302,6059
